NO2,C2H5CH,VOC,CO,CLASS
835,900,963,1017,0
835,900,963,1018,0
835,899,962,1017,0
835,899,963,1018,0
835,899,964,1018,0
835,899,963,1018,0
835,899,963,1017,0
835,899,963,1017,0
835,900,963,1018,0
835,899,964,1018,0
835,899,963,1019,0
835,900,963,1018,0
834,899,963,1018,0
834,900,963,1017,0
835,899,962,1018,0
834,900,963,1018,0
834,899,963,1018,0
833,899,963,1018,0
834,899,963,1018,0
834,900,963,1018,0
834,900,963,1018,0
833,899,961,1018,0
833,899,962,1017,0
833,899,963,1018,0
833,899,962,1017,0
833,899,963,1018,0
832,899,962,1018,0
833,899,962,1018,0
833,900,962,1018,0
832,899,962,1017,0
833,899,962,1018,0
833,899,962,1017,0
833,899,962,1018,0
833,899,961,1017,0
834,899,961,1017,0
833,899,962,1018,0
833,900,961,1018,0
833,900,962,1018,0
832,899,962,1018,0
833,900,961,1018,0
833,898,961,1018,0
834,899,960,1019,0
833,899,962,1018,0
833,900,961,1018,0
833,900,962,1018,0
833,900,961,1018,0
833,899,962,1018,0
833,899,962,1018,0
833,899,962,1017,0
833,900,962,1018,0
833,899,961,1018,0
833,900,961,1017,0
833,899,961,1018,0
834,899,961,1018,0
834,899,961,1018,0
833,899,961,1018,0
834,899,961,1018,0
833,899,961,1018,0
834,899,961,1018,0
833,899,962,1018,0
833,899,960,1017,0
833,899,961,1018,0
833,899,961,1018,0
834,899,960,1018,0
833,899,962,1018,0
833,898,960,1018,0
833,899,961,1018,0
834,899,960,1018,0
833,899,961,1018,0
834,899,960,1018,0
832,898,960,1018,0
834,899,961,1017,0
833,899,961,1018,0
833,898,961,1018,0
833,899,961,1018,0
833,900,961,1018,0
833,899,961,1018,0
834,899,960,1018,0
833,898,961,1017,0
833,899,960,1018,0
833,899,961,1018,0
833,899,961,1018,0
833,899,960,1017,0
833,899,960,1018,0
833,899,961,1017,0
834,899,961,1018,0
833,898,960,1018,0
833,899,961,1018,0
833,898,961,1018,0
833,899,962,1017,0
834,899,960,1017,0
833,899,960,1018,0
833,899,961,1018,0
834,899,960,1018,0
833,899,961,1018,0
833,899,961,1017,0
833,899,961,1017,0
834,898,961,1017,0
833,898,961,1018,0
834,898,960,1018,0
834,899,960,1018,0
833,899,961,1018,0
